DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2024-01-12,EQ,5870,5922,5742.85,5869.9,5807.45,5795.7,5813.44,5922,4123,250919,1458701365.15,31885,APOLLOHOSP
2024-01-11,EQ,5804,5892,5802.25,5800.9,5861.75,5869.9,5851.69,5892,4123,213210,1247638723.6,32232,APOLLOHOSP
2024-01-10,EQ,5800,5819.3,5721.3,5797.65,5797.1,5800.9,5771.05,5849,4123,239740,1383550762.9,27394,APOLLOHOSP
2024-01-09,EQ,5702.2,5849,5674.7,5682,5800,5797.65,5792.02,5849,4123,329437,1908105954.3,44351,APOLLOHOSP
2024-01-08,EQ,5750,5774.85,5640,5754.25,5685.85,5682,5683.95,5839.95,4123,157009,892431667.35,25385,APOLLOHOSP
2024-01-05,EQ,5762.2,5808.8,5715,5762.2,5745.6,5754.25,5772.24,5839.95,4123,144894,836363423.5,22461,APOLLOHOSP
2024-01-04,EQ,5768.3,5839.95,5731.5,5768.3,5754.25,5762.2,5775.75,5839.95,4123,220702,1274720229.4,33455,APOLLOHOSP
2024-01-03,EQ,5730,5786,5673.05,5746.35,5777,5768.3,5727.53,5786,4123,198997,1139760467.8,30323,APOLLOHOSP
2024-01-02,EQ,5738.1,5782.65,5680,5750.05,5744.4,5746.35,5733.17,5782.65,4123,166449,954279776.85,22985,APOLLOHOSP
2024-01-01,EQ,5741,5765,5707.85,5704.1,5734,5750.05,5739.62,5770,4123,127030,729103627.85,16790,APOLLOHOSP
2023-12-29,EQ,5740,5758.95,5677.3,5760.5,5708,5704.1,5701.32,5770,4123,325682,1856816229,33076,APOLLOHOSP
2023-12-28,EQ,5675,5770,5674.75,5687.45,5751.2,5760.5,5737.55,5770,4123,568149,3259784923.45,73766,APOLLOHOSP
2023-12-27,EQ,5635,5715,5615.6,5633.15,5665.4,5687.45,5677.14,5715,4123,307177,1743888094.4,50257,APOLLOHOSP
2023-12-26,EQ,5541.4,5645,5526.15,5541.4,5631.75,5633.15,5613.61,5689,4123,243281,1365684514.9,32939,APOLLOHOSP
2023-12-22,EQ,5510,5549,5462.7,5475.85,5540,5541.4,5510.02,5689,4123,220537,1215163114.75,30817,APOLLOHOSP
2023-12-21,EQ,5344,5553,5284.85,5402.2,5504.4,5475.85,5447.45,5689,4123,487514,2655706431.3,76616,APOLLOHOSP
2023-12-20,EQ,5555.5,5605.8,5375.1,5555.5,5394,5402.2,5524.63,5689,4123,437044,2414504980,51266,APOLLOHOSP
2023-12-19,EQ,5508.8,5675.35,5503.7,5498.65,5552,5555.5,5582.11,5689,4123,682732,3811082193.3,65271,APOLLOHOSP
2023-12-18,EQ,5550.5,5607.75,5494,5551.2,5494,5498.65,5529.3,5689,4123,428321,2368316728.6,37569,APOLLOHOSP
2023-12-15,EQ,5530,5588,5500,5515.9,5556.9,5551.2,5543.6,5689,4123,349758,1938916748.55,39160,APOLLOHOSP
2023-12-14,EQ,5494.8,5532.95,5452.1,5426.75,5530,5515.9,5493.34,5689,4123,490550,2694758422.1,57255,APOLLOHOSP
2023-12-13,EQ,5402.95,5452,5369.4,5428.95,5444.5,5426.75,5399.35,5689,4123,476781,2574306843.4,50920,APOLLOHOSP
2023-12-12,EQ,5550,5550,5403.2,5547.35,5430.9,5428.95,5473.9,5689,4123,615205,3367571251.3,43998,APOLLOHOSP
2023-12-11,EQ,5550,5555.35,5490,5555.35,5551,5547.35,5532.09,5689,4123,238128,1317344456.3,40835,APOLLOHOSP
2023-12-08,EQ,5495,5572.55,5439.05,5461.4,5540,5555.35,5505.24,5689,4123,456382,2512493294.3,54764,APOLLOHOSP
2023-12-07,EQ,5490.25,5519.8,5441.5,5543.1,5457,5461.4,5467.71,5689,4123,510609,2791860835.6,66845,APOLLOHOSP
2023-12-06,EQ,5534.15,5639,5508.75,5580.2,5549,5543.1,5558.73,5689,4123,574427,3193085684.25,43834,APOLLOHOSP
2023-12-05,EQ,5610,5689,5525,5622.55,5588,5580.2,5592.64,5689,4123,787929,4406601310.45,85393,APOLLOHOSP
2023-12-04,EQ,5626,5658.25,5569.6,5591.15,5621.05,5622.55,5619.87,5687.65,4123,936113,5260836877.3,65087,APOLLOHOSP
2023-12-01,EQ,5550,5687.65,5530.35,5528.95,5575.15,5591.15,5595.55,5687.65,4123,546990,3060710197.35,47461,APOLLOHOSP
2023-11-30,EQ,5382,5550,5382,5421.95,5549,5528.95,5504.94,5595,4123,775261,4267767133.15,63666,APOLLOHOSP
2023-11-29,EQ,5372.1,5435,5364.5,5366.8,5434.9,5421.95,5406.73,5595,4123,277119,1498307094.65,33943,APOLLOHOSP
2023-11-28,EQ,5401.3,5424.85,5341,5401.3,5370.05,5366.8,5363.24,5595,4123,362746,1945492367.45,44260,APOLLOHOSP
2023-11-24,EQ,5493,5493,5395,5493.95,5408.7,5401.3,5430.21,5595,4123,270183,1467149154.3,32571,APOLLOHOSP
2023-11-23,EQ,5530,5550,5473.3,5532,5487.05,5493.95,5505.39,5595,4123,234584,1291476185.65,32551,APOLLOHOSP
2023-11-22,EQ,5467,5539.95,5439.15,5466.8,5530,5532,5504.8,5595,4123,302473,1665052191.35,31350,APOLLOHOSP
2023-11-21,EQ,5500,5520.3,5422.4,5473.95,5457.6,5466.8,5463.17,5595,4123,382979,2092279310.8,39335,APOLLOHOSP
2023-11-20,EQ,5475,5595,5455.05,5478.95,5481,5473.95,5513.94,5595,4123,526567,2903456910.2,45335,APOLLOHOSP
2023-11-17,EQ,5332.2,5493.35,5306.15,5338.75,5485,5478.95,5443.61,5493.35,4123,735541,4003999676.8,69714,APOLLOHOSP
2023-11-16,EQ,5224,5368,5201.75,5224.95,5332.2,5338.75,5305.38,5368,4123,449045,2382355864,60107,APOLLOHOSP
2023-11-15,EQ,5283.85,5295,5207,5220.65,5227,5224.95,5229.88,5364,4123,356675,1865366368.9,49934,APOLLOHOSP
2023-11-13,EQ,5250,5279,5200.2,5275.55,5223,5220.65,5227.28,5364,4123,150128,784761334.7,19113,APOLLOHOSP
2023-11-12,EQ,5300,5300,5265,5278.5,5274,5275.55,5278,5364,4123,18707,98735615.15,2975,APOLLOHOSP
2023-11-10,EQ,5300,5338,5218.65,5297.6,5261.8,5278.5,5271.8,5364,4123,696409,3671332027.85,62330,APOLLOHOSP
2023-11-09,EQ,5147.5,5313,5122.05,5110.95,5300,5297.6,5234.16,5364,4123,1032216,5402787033.6,104845,APOLLOHOSP
2023-11-08,EQ,5135,5153.65,5087.45,5136.85,5116.05,5110.95,5115.58,5364,4123,400498,2048779260.75,33535,APOLLOHOSP
2023-11-07,EQ,5150,5181.95,5121.05,5164.95,5135,5136.85,5139.04,5364,4123,222204,1141914978.25,25605,APOLLOHOSP
